file_name,time,ent_count,sims_count,repetition
Berlin_ Trotz Knast-Urteil – Richter entlässt gefährlichen Dauer-Raser aus U-Haft _ Regional _ BILD.de.pdf,19.186014900000146,21,222,5
Betrug mit Polizisten-Trick_ Bankerin rettet für Seniorin 12.000 Euro _ Regional _ BILD.de.pdf,2.095431399999825,3,0,5
Blutbad bei Lauben-Einbruch_ Klein-Ganove prügelt Polizistin fast tot _ Regional _ BILD.de.pdf,2.935584199999994,7,8,5
Dealer waren bewaffnet_ Kripo sprengt Rauschgift-Ring _ Regional _ BILD.de.pdf,2.5096760999999788,7,8,5
"Der Nächste, bitte! Ex-Bürgermeister aus Homburg muss vor Gericht _ Regional _ BILD.de.pdf",3.185303700000077,8,20,5
Dresden_ Mann niedergestochen_ 20-Jähriger wegen versuchten Mordes angeklagt _ Regional _ BILD.de.pdf,3.9825998999999683,6,12,5
Düsseldorf_ Versuchter Totschlag! Angeklagter vom SEK zum Prozess gebracht _ Regional _ BILD.de.pdf,6.7992256,16,60,5
Er tötete drei Frauen_ Messerstecher von Würzburg kommt in die Psychiatrie _ Regional _ BILD.de.pdf,3.338837300000023,9,22,5
Essen_ Oberarzt soll Corona-Kranken totgespritzt haben - Anwalt bestreitet _ Regional _ BILD.de.pdf,12.590983699999924,18,108,5
Flüchtling vor Gericht_ Prozess um Mord an obdachloser Frau _ Regional _ BILD.de.pdf,5.807266499999969,12,48,5
Freibad Steinrausch_ Lebloser Junge (5) aus Schwimmbecken gerettet _ Regional _ BILD.de.pdf,8.258788399999958,8,8,5
Generalbundesanwalt klagt ISIS-Braut Leonora M. an _ Regional _ BILD.de.pdf,9.138771899999938,22,118,5
Gib G(r)as!_ Polizei schnappt zugedröhnten Rasenmäher-Tuner (26) _ Regional _ BILD.de.pdf,2.8077255000000605,6,8,5
Halle_ Mutmaßliches Drogen-Quartett vor Gericht _ Regional _ BILD.de.pdf,12.054471899999953,18,152,5
In der Pfalz_ Suff-Fahrer zerlegen ihre Autos _ Regional _ BILD.de.pdf,5.268618600000082,8,42,5
Mia (6) und Lio (3) erstickt_ Mord-Anklage gegen Mutter Johanna E.! _ Regional _ BILD.de.pdf,12.314974899999925,19,160,5
Mönchengladbach_ Mann und Frau nach Bluttat auf Feldweg festgenommen _ Regional _ BILD.de.pdf,4.1941911999999775,12,28,5
Neonazi-Aktion in Dortmund_ Polizei durfte Ex-Feuerwehrchef nicht durchsuchen _ Regional _ BILD.de.pdf,13.485730999999987,19,112,5
Passant schwer verletzt_ Polizei jagt skrupellosen Raser _ Regional _ BILD.de.pdf,7.849169299999858,19,82,5
Prozess gegen den Kannibalen von Pankow beginnt am 10. August! _ Regional _ BILD.de.pdf,7.39556309999989,15,80,5
Prozess gegen mutmaßlichen Todesschützen_ Waffen-Arsenal in Geister-Villa _ Regional _ BILD.de.pdf,4.018652000000202,7,20,5
Prozess in Mönchengladbach_ Rentner raste betrunken in Spielmannszug _ Regional _ BILD.de.pdf,3.0856289999999262,7,12,5
